lat,lon,lat_idx,lon_idx,E_C0_freq,E_C1_freq,E_C2_freq,E_transition,E_dominant
53.5,123.0,6,212,21.0,1.0,22.0,22.0,2.0
53.5,123.25,6,213,21.0,1.0,22.0,28.0,2.0
53.5,123.5,6,214,25.0,1.0,18.0,19.0,0.0
53.5,123.75,6,215,26.0,1.0,17.0,20.0,0.0
53.25,121.0,7,204,23.0,0.0,21.0,20.0,0.0
53.25,121.25,7,205,21.0,0.0,23.0,18.0,2.0
53.25,121.5,7,206,23.0,0.0,21.0,20.0,0.0
53.25,121.75,7,207,22.0,1.0,21.0,22.0,0.0
53.25,122.0,7,208,18.0,1.0,25.0,27.0,2.0
53.25,122.25,7,209,19.0,1.0,24.0,29.0,2.0
53.25,122.5,7,210,20.0,1.0,23.0,23.0,2.0
53.25,122.75,7,211,21.0,1.0,22.0,25.0,2.0
53.25,123.0,7,212,23.0,1.0,20.0,27.0,0.0
53.25,123.25,7,213,20.0,0.0,24.0,29.0,2.0
53.25,123.5,7,214,18.0,0.0,26.0,20.0,2.0
53.25,123.75,7,215,21.0,2.0,21.0,20.0,0.0
53.25,124.0,7,216,18.0,0.0,26.0,19.0,2.0
53.25,124.25,7,217,21.0,1.0,22.0,24.0,2.0
53.0,120.5,8,202,20.0,0.0,24.0,23.0,2.0
53.0,120.75,8,203,21.0,0.0,23.0,23.0,2.0
53.0,121.0,8,204,19.0,0.0,25.0,25.0,2.0
53.0,121.25,8,205,18.0,1.0,25.0,21.0,2.0
53.0,121.5,8,206,24.0,1.0,19.0,26.0,0.0
53.0,121.75,8,207,23.0,1.0,20.0,24.0,0.0
53.0,122.0,8,208,28.0,1.0,15.0,23.0,0.0
53.0,122.25,8,209,22.0,0.0,22.0,22.0,0.0
53.0,122.5,8,210,21.0,0.0,23.0,26.0,2.0
53.0,122.75,8,211,22.0,0.0,22.0,22.0,0.0
53.0,123.0,8,212,19.0,0.0,25.0,20.0,2.0
53.0,123.25,8,213,20.0,0.0,24.0,23.0,2.0
53.0,123.5,8,214,17.0,0.0,27.0,25.0,2.0
53.0,123.75,8,215,18.0,0.0,26.0,17.0,2.0
53.0,124.0,8,216,18.0,0.0,26.0,26.0,2.0
53.0,124.25,8,217,18.0,0.0,26.0,26.0,2.0
53.0,124.5,8,218,16.0,1.0,27.0,21.0,2.0
53.0,124.75,8,219,15.0,2.0,27.0,20.0,2.0
53.0,125.0,8,220,15.0,2.0,27.0,24.0,2.0
53.0,125.25,8,221,16.0,1.0,27.0,23.0,2.0
53.0,125.5,8,222,17.0,3.0,24.0,23.0,2.0
52.75,120.25,9,201,20.0,0.0,24.0,24.0,2.0
